season,date,game,brand,asset,exposure,duration,qimv,exposure_impressions,sponsorship_impressions,qi_sponsorship_impressions
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chase,Scoreboard,2,14,583,1487236,347022,54344
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Delta,Pole Pad,1,24,1328,743618,594894,123738
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chase,Player Tunnel,36,343,25989,26770248,8502032,2420826
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chevy,Player Tunnel,57,214,18059,42386226,5304475,1682143
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Citizens Financial,Player Tunnel,28,205,16173,20821304,5081390,1506461
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Coca-cola,Player Tunnel,22,174,13610,16359596,4312984,1267797
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Delta,Player Tunnel,30,309,24725,22308540,7659265,2303139
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Draftkings,Player Tunnel,7,64,4823,5205326,1586385,449212
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Fan Duel,Player Tunnel,29,200,15852,21564922,4957453,1476577
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Miller Lite,Player Tunnel,29,205,16786,21564922,5081390,1563633
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chase,On-Court,307,1089,84497,228290726,26993333,7870889
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Citizens Financial,On-Court,215,550,44481,159877870,13632997,4143402
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Fan Duel,Lower Bowl LED,8,55,4799,5948944,1363300,447048
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chase,LED,125,355,16787,92952250,8799480,1563687
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chevy,LED,126,342,15750,93695868,8477245,1467081
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Citizens Financial,LED,96,291,11811,71387328,7213095,1100185
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Coca-cola,LED,133,471,19830,98901194,11674803,1847155
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Draftkings,LED,71,194,9660,52796878,4808730,899835
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Fan Duel,LED,84,227,9886,62463912,5626710,920852
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Miller Lite,LED,127,423,18662,94439486,10485014,1738348
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Miller,Jersey,403,1187,46489,299678054,29422486,4330467
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Chase,Endzone,1,8,231,743618,198298,21555
2022-2023,2022-10-11 00:00:00,Colorado Avalanche ,Coca-cola,Endzone,1,1,44,743618,24787,4135
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chevrolet,TVGI,1,2,173,143477,9565,2815
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chevrolet,TVGI,2,20,2815,286954,95651,45784
2022-2023,2022-10-13 00:00:00,Nashville Predators,Fan Duel,TVGI,1,14,1761,143477,66956,28650
2022-2023,2022-10-13 00:00:00,Nashville Predators,Miller Lite,TVGI,1,3,547,143477,14348,8901
2022-2023,2022-10-13 00:00:00,Nashville Predators,Citizens Financial,Stanchion,149,587,64662,21378073,2807367,1051729
2022-2023,2022-10-13 00:00:00,Nashville Predators,Citizens Financial,Stanchion,149,587,64662,21378073,2807367,1051729
2022-2023,2022-10-13 00:00:00,Nashville Predators,Fan Duel,Stanchion,54,219,23680,7747758,1047382,385152
2022-2023,2022-10-13 00:00:00,Nashville Predators,Fan Duel,Stanchion,54,219,23680,7747758,1047382,385152
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chase,Pole Pad,2,8,2352,286954,38261,38261
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chase,Pole Pad,5,35,2944,717385,167390,47892
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chevrolet,Pole Pad,1,4,1176,143477,19130,19130
2022-2023,2022-10-13 00:00:00,Nashville Predators,Delta,Pole Pad,1,23,1681,143477,109999,27346
2022-2023,2022-10-13 00:00:00,Nashville Predators,JP Morgan,Pole Pad,1,4,1176,143477,19130,19130
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chase,Player Tunnel,68,503,40313,9756436,2405631,655687
2022-2023,2022-10-13 00:00:00,Nashville Predators,Chase,Player Tunnel,68,503,40313,9756436,2405631,655687
2022-2023,2022-10-13 00:00:00,Nashville Predators,Citizens Financial,Player Tunnel,130,645,63742,18652010,3084756,1036767
2022-2023,2022-10-13 00:00:00,Nashville Predators,Citizens Financial,Player Tunnel,130,645,63742,18652010,3084756,1036767
2022-2023,2022-10-13 00:00:00,Nashville Predators,Coca-cola,Player Tunnel,85,456,36599,12195545,2180850,595274
2022-2023,2022-10-13 00:00:00,Nashville Predators,Coca-cola,Player Tunnel,85,456,36599,12195545,2180850,595274
2022-2023,2022-10-13 00:00:00,Nashville Predators,Fan Duel,Player Tunnel,59,415,33443,8465143,1984765,543951
2022-2023,2022-10-13 00:00:00,Nashville Predators,Fan Duel,Player Tunnel,59,415,33443,8465143,1984765,543951
2022-2023,2022-10-13 00:00:00,Nashville Predators,Miller Lite,Player Tunnel,84,586,59976,12052068,2802584,975503
2022-2023,2022-10-13 00:00:00,Nashville Predators,Miller Lite,Player Tunnel,84,586,59976,12052068,2802584,975503
2022-2023,2022-10-13 00:00:00,Nashville Predators,Verizon Wireless,Player Tunnel,13,19,1688,1865201,90869,27450
2022-2023,2022-10-13 00:00:00,Nashville Predators,Verizon Wireless,Player Tunnel,13,19,1688,1865201,90869,27450
2022-2023,2022-10-14 00:00:00,LA Kings,Chevrolet,TVGI,1,10,665,138929,46310,10809
2022-2023,2022-10-14 00:00:00,LA Kings,Chevrolet,TVGI,1,12,1648,138929,55572,26808
2022-2023,2022-10-14 00:00:00,LA Kings,Miller Lite,TVGI,4,40,2798,555717,185239,45513
2022-2023,2022-10-14 00:00:00,LA Kings,Chase,Stanchion,2,9,416,277859,41679,6769
2022-2023,2022-10-14 00:00:00,LA Kings,Citizens Financial,Stanchion,124,555,56587,17227241,2570193,920394
2022-2023,2022-10-14 00:00:00,LA Kings,Citizens Financial,Stanchion,124,555,56587,17227241,2570193,920394
2022-2023,2022-10-14 00:00:00,LA Kings,Fan Duel,Stanchion,48,264,26770,6668609,1222578,435409
2022-2023,2022-10-14 00:00:00,LA Kings,Fan Duel,Stanchion,48,264,26770,6668609,1222578,435409
2022-2023,2022-10-14 00:00:00,LA Kings,Chase,Pole Pad,13,76,5946,1806082,351954,96719
2022-2023,2022-10-14 00:00:00,LA Kings,Chase,Pole Pad,2,8,2278,277859,37048,37048
2022-2023,2022-10-14 00:00:00,LA Kings,Chevrolet,Pole Pad,1,10,855,138929,46310,13907
2022-2023,2022-10-14 00:00:00,LA Kings,Chevrolet,Pole Pad,1,4,1139,138929,18524,18524
2022-2023,2022-10-14 00:00:00,LA Kings,Delta,Pole Pad,2,23,1562,277859,106513,25403
2022-2023,2022-10-14 00:00:00,LA Kings,Delta,Pole Pad,1,4,1139,138929,18524,18524
2022-2023,2022-10-14 00:00:00,LA Kings,Fan Duel,Pole Pad,3,12,3417,416788,55572,55572
2022-2023,2022-10-14 00:00:00,LA Kings,Chase,Player Tunnel,67,690,53285,9308267,3195375,866676
2022-2023,2022-10-14 00:00:00,LA Kings,Chase,Player Tunnel,67,690,53285,9308267,3195375,866676
2022-2023,2022-10-14 00:00:00,LA Kings,Citizens Financial,Player Tunnel,108,830,70009,15004371,3843712,1138700
2022-2023,2022-10-14 00:00:00,LA Kings,Citizens Financial,Player Tunnel,108,830,70009,15004371,3843712,1138700
2022-2023,2022-10-14 00:00:00,LA Kings,Coca-cola,Player Tunnel,61,497,39896,8474691,2301596,648903
2022-2023,2022-10-14 00:00:00,LA Kings,Coca-cola,Player Tunnel,61,497,39896,8474691,2301596,648903
2022-2023,2022-10-14 00:00:00,LA Kings,Coke,Player Tunnel,43,163,12893,5973963,754850,209701
2022-2023,2022-10-14 00:00:00,LA Kings,Coke,Player Tunnel,43,163,12893,5973963,754850,209701
2022-2023,2022-10-14 00:00:00,LA Kings,Coke Zero,Player Tunnel,46,140,11764,6390751,648337,191334
2022-2023,2022-10-14 00:00:00,LA Kings,Coke Zero,Player Tunnel,46,140,11764,6390751,648337,191334
2022-2023,2022-10-14 00:00:00,LA Kings,Fan Duel,Player Tunnel,63,495,39902,8752550,2292335,649001
2022-2023,2022-10-14 00:00:00,LA Kings,Fan Duel,Player Tunnel,63,495,39902,8752550,2292335,649001
